"X","Y","Z","Intensity","ReturnNumber","NumberOfReturns","ScanDirectionFlag","EdgeofFlightLine","Classification","ScanAngleRank","UserData","PointSourceID","gpstime","Range"
5673403.8820,3704860.5090,1500.6940,31,1,2,1,0,5,7,0,111,50772191.92325940,4503.8470
5673405.8670,3704858.2780,1518.2790,118,1,3,1,0,5,7,0,111,50772191.92327060,4486.3094
5673406.3280,3704858.2680,1496.8550,25,2,3,1,0,5,7,0,111,50772191.92327060,4507.7384
5673408.2480,3704856.0330,1517.7540,46,1,4,1,0,5,7,0,111,50772191.92328180,4486.8885
5673408.6750,3704856.0220,1499.9390,18,2,4,1,0,5,7,0,111,50772191.92328180,4504.7086
5673409.1010,3704856.0440,1480.5490,7,3,4,1,0,5,7,0,111,50772191.92328180,4524.1033
5673409.5290,3704856.0330,1462.8980,0,4,4,1,0,3,7,0,111,50772191.92328180,4541.7595
5673410.9880,3704853.8080,1502.4980,179,1,2,1,0,5,7,0,111,50772191.92329300,4502.2054
5673413.2030,3704851.5880,1510.7990,37,1,2,1,0,5,7,0,111,50772191.92330430,4493.9618
5673413.5000,3704851.5700,1497.6100,122,2,2,1,0,5,7,0,111,50772191.92330430,4507.1541
5673415.2850,3704849.3940,1524.7090,69,1,2,1,0,5,7,0,111,50772191.92331550,4480.1100
5673421.6380,3704838.7790,1525.8900,82,1,4,0,0,5,7,0,111,50772191.93955910,4479.1697
5673420.2190,3704840.8420,1489.7360,5,1,2,0,0,5,7,0,111,50772191.93957030,4515.2669
5673420.8140,3704840.7730,1465.1950,240,2,2,0,0,2,7,0,111,50772191.93957030,4539.8152
5673416.8810,3704843.2010,1525.1030,13,1,2,0,0,5,7,0,111,50772191.93958160,4479.8192
5673418.4340,3704843.0170,1464.2440,77,2,2,0,0,2,7,0,111,50772191.93958160,4540.6983
5673414.5350,3704845.4140,1525.6940,95,1,2,0,0,5,7,0,111,50772191.93959280,4479.1641
5673414.8330,3704845.3640,1513.9480,56,2,2,0,0,5,7,0,111,50772191.93959280,4490.9139
